"","countries","text"
"1","Denmark","500 [430 - 590]"
"2","Italy","31,000 [27,000 - 36,000]"
"3","Germany","6,800 [5,900 - 8,000]"
"4","Spain","25,000 [22,000 - 28,000]"
"5","United_Kingdom","29,000 [26,000 - 34,000]"
"6","France","23,000 [20,000 - 27,000]"
"7","Norway","210 [170 - 250]"
"8","Belgium","7,300 [6,400 - 8,400]"
"9","Austria","620 [530 - 730]"
"10","Sweden","2,800 [2,500 - 3,300]"
"11","Switzerland","1,500 [1,300 - 1,800]"
"2.5%","Total","130,000 [120,000 - 140,000]"
